"fiscalYearEnd","count"
"1231","5691"
"0630","345"
"0331","323"
"0930","267"
"1031","153"
"0131","120"
"1130","75"
"0430","75"
"0731","72"
"0531","70"
"0831","63"
"0228","56"
"1225","53"
"0103","30"
"1228","22"
"1227","20"
"0102","17"
"1226","16"
"0201","16"
"0130","11"
"0328","11"
"1003","10"
"1230","8"
"0628","8"
"0627","7"
"0926","7"
"0101","6"
"1002","5"
"0927","5"
"0329","5"
"1229","5"
"0928","5"
"1101","4"
"0530","4"
"0829","4"
"0301","2"
"1030","2"
"1128","2"
"1004","2"
"0929","2"
"0503","2"
"0502","2"
"0703","2"
"0830","2"
"1117","2"
"0129","2"
"0629","2"
"0330","2"
"0525","2"
"0424","2"
"0202","2"
"0901","1"
"1026","1"
"0803","1"
"1025","1"
"0425","1"
"0119","1"
"1129","1"
"0727","1"
"0903","1"
"0624","1"
"1211","1"
"1127","1"
"0626","1"
"0725","1"
"1223","1"
"0513","1"
"0524","1"
"0429","1"
"0204","1"
"0229","1"
"1207","1"
"1208","1"
"0203","1"
"0925","1"
"0128","1"
"0802","1"
"0826","1"
"0123","1"
"0120","1"
"0106","1"
"0315","1"
"0607","1"
