"sic","sicDescription","count"
"2834","Pharmaceutical Preparations","589"
"6770","Blank Checks","351"
"7372","Services-Prepackaged Software","295"
"6798","Real Estate Investment Trusts","204"
"6022","State Commercial Banks","189"
"2836","Biological Products, (No Diagnostic Substances)","180"
"6199","Finance Services","168"
"3841","Surgical & Medical Instruments & Apparatus","150"
"7389","Services-Business Services, NEC","139"
"6221","Commodity Contracts Brokers & Dealers","116"
"3674","Semiconductors & Related Devices","113"
"1311","Crude Petroleum & Natural Gas","111"
"7374","Services-Computer Processing & Data Preparation","110"
"1040","Gold and Silver Ores","105"
"7370","Services-Computer Programming, Data Processing, Etc.","99"
"6021","National Commercial Banks","93"
"1000","Metal Mining","90"
"4911","Electric Services","74"
"8742","Services-Management Consulting Services","62"
"6331","Fire, Marine & Casualty Insurance","61"
"3690","Miscellaneous Electrical Machinery, Equipment & Supplies","58"
"8200","Services-Educational Services","57"
"7373","Services-Computer Integrated Systems Design","55"
"7371","Services-Computer Programming Services","55"
"6500","Real Estate","53"
"5812","Retail-Eating  Places","52"
"6282","Investment Advice","52"
"4412","Deep Sea Foreign Transportation of  Freight","46"
"2833","Medicinal Chemicals & Botanical Products","45"
"3714","Motor Vehicle Parts & Accessories","43"
"6035","Savings Institution, Federally Chartered","43"
"1400","Mining & Quarrying of  Nonmetallic Minerals (No Fuels)","38"
"6036","Savings Institutions, Not Federally Chartered","38"
"7900","Services-Amusement & Recreation Services","37"
"3711","Motor Vehicles & Passenger Car Bodies","37"
"6411","Insurance Agents, Brokers & Service","36"
"6029","Commercial Banks, NEC","36"
"8880","American Depositary Receipts","36"
"3845","Electromedical & Electrotherapeutic Apparatus","36"
"6211","Security Brokers, Dealers & Flotation Companies","35"
"7990","Services-Miscellaneous Amusement & Recreation","33"
"3842","Orthopedic, Prosthetic & Surgical Appliances & Supplies","33"
"5961","Retail-Catalog & Mail-Order Houses","33"
"8071","Services-Medical Laboratories","32"
"7011","Hotels & Motels","30"
"2860","Industrial Organic Chemicals","29"
"2080","Beverages","28"
"4813","Telephone Communications (No Radiotelephone)","28"
"4899","Communications Services, NEC","28"
"3663","Radio & Tv Broadcasting & Communications Equipment","27"
"2000","Food and Kindred Products","27"
"1700","Construction - Special Trade Contractors","27"
"3826","Laboratory Analytical Instruments","26"
"4931","Electric & Other Services Combined","26"
"7310","Services-Advertising","26"
"4400","Water Transportation","25"
"0100","Agricultural Production-Crops","24"
"2844","Perfumes, Cosmetics & Other Toilet Preparations","24"
"5990","Retail-Retail Stores, NEC","24"
"6311","Life Insurance","22"
"4700","Transportation Services","22"
"1389","Oil & Gas Field Services, NEC","22"
"5500","Retail-Auto Dealers & Gasoline Stations","22"
"1531","Operative Builders","22"
"7363","Services-Help Supply Services","21"
"2835","In Vitro & In Vivo Diagnostic Substances","21"
"5900","Retail-Miscellaneous Retail","21"
"8000","Services-Health Services","21"
"2800","Chemicals & Allied Products","20"
"2300","Apparel & Other Finishd Prods of  Fabrics & Similar Matl","20"
"3533","Oil & Gas Field Machinery & Equipment","20"
"4512","Air Transportation, Scheduled","19"
"3577","Computer Peripheral Equipment, NEC","19"
"7200","Services-Personal Services","19"
"4731","Arrangement of  Transportation of  Freight & Cargo","19"
"4922","Natural Gas Transmission","19"
"3823","Industrial Instruments For Measurement, Display, and Control","19"
"8090","Services-Misc Health & Allied Services, NEC","19"
"1090","Miscellaneous Metal Ores","19"
"6531","Real Estate Agents & Managers (For Others)","19"
"3721","Aircraft","18"
"2911","Petroleum Refining","18"
"3949","Sporting & Athletic Goods, NEC","17"
"3669","Communications Equipment, NEC","17"
"3569","General Industrial Machinery & Equipment, NEC","17"
"0000","unknown","17"
"3576","Computer Communications Equipment","17"
"2870","Agricultural Chemicals","16"
"8731","Services-Commercial Physical & Biological Research","16"
"3559","Special Industry Machinery, NEC","16"
"4841","Cable & Other Pay Television Services","16"
"4812","Radiotelephone Communications","16"
"3590","Misc Industrial & Commercial Machinery & Equipment","15"
"7311","Services-Advertising Agencies","15"
"6794","Patent Owners & Lessors","15"
"4953","Refuse Systems","15"
"6200","Security & Commodity Brokers, Dealers, Exchanges & Services","15"
"4924","Natural Gas Distribution","14"
