"stateOfIncorporationDescription","count"
"DE","2826"
"Cayman Islands","756"
"NV","558"
"British Columbia, Canada","372"
"MD","360"
"MA","129"
"Ontario, Canada","106"
"FL","104"
"NY","102"
"Virgin Islands, British","96"
"Israel","94"
"TX","91"
"Canada (Federal Level)","77"
"PA","69"
"Japan","65"
"United Kingdom","64"
"OH","56"
"VA","55"
"Bermuda","55"
"CA","53"
"WY","48"
"Australia","46"
"MN","44"
"Netherlands","37"
"Alberta, Canada","37"
"China","37"
"Marshall Islands","36"
"CO","35"
"NJ","33"
"WI","32"
"IN","32"
"Switzerland","32"
"WA","30"
"Ireland","29"
"GA","25"
"UT","23"
"NC","22"
"MI","22"
"Hong Kong","20"
"MO","19"
"Brazil","19"
"IL","17"
"TN","15"
"France","15"
"Germany","15"
"Quebec, Canada","12"
"OR","12"
"Singapore","12"
"Luxembourg","12"
"Jersey","11"
"CT","10"
"OK","10"
"LA","10"
"Sweden","10"
"Korea, Republic of","9"
"Mexico","9"
"United States","9"
"SC","8"
"Argentina","8"
"Belgium","8"
"Taiwan","7"
"Italy","6"
"Spain","6"
"Indonesia","6"
"DC","5"
"MS","5"
"IA","5"
"AR","5"
"Malaysia","5"
"HI","4"
"KY","4"
"WV","4"
"ID","4"
"Denmark","4"
"Thailand","4"
"RI","3"
"MT","3"
"AZ","3"
"ME","3"
"South Africa","3"
"NE","3"
"Chile","3"
"Finland","3"
"Turkey","3"
"PR","3"
"Manitoba, Canada","3"
"India","3"
"Guernsey","3"
"AL","3"
"NH","2"
"NM","2"
"VT","2"
"KS","2"
"Mauritius","2"
"SD","2"
"Greece","2"
"Colombia","2"
"Norway","2"
"Cyprus","2"
"Netherlands Antilles","1"
"ND","1"
"Antigua and Barbuda","1"
"New Brunswick, Canada","1"
"AK","1"
"Poland","1"
"Newfoundland, Canada","1"
"British Indian Ocean Territory","1"
"Panama","1"
"Bahamas","1"
"Saskatchewan, Canada","1"
"Gibraltar","1"
"Isle of Man","1"
"Austria","1"
"Kazakhstan","1"
"United Arab Emirates","1"
"New Zealand","1"
