"sic","sicDescription","count"
"6189","Asset-Backed Securities","12542"
"0000","unknown","6306"
"6770","Blank Checks","2972"
"7372","Services-Prepackaged Software","1482"
"7389","Services-Business Services, NEC","1340"
"2834","Pharmaceutical Preparations","1320"
"1311","Crude Petroleum & Natural Gas","1269"
"6022","State Commercial Banks","1133"
"6798","Real Estate Investment Trusts","1052"
"6500","Real Estate","1020"
"8880","American Depositary Receipts","1000"
"6021","National Commercial Banks","965"
"6035","Savings Institution, Federally Chartered","765"
"9995","Non-Operating Establishments","703"
"4911","Electric Services","634"
"4813","Telephone Communications (No Radiotelephone)","632"
"1000","Metal Mining","518"
"6311","Life Insurance","473"
"6321","Accident & Health Insurance","472"
"7373","Services-Computer Integrated Systems Design","458"
"7011","Hotels & Motels","457"
"7374","Services-Computer Processing & Data Preparation","438"
"3841","Surgical & Medical Instruments & Apparatus","437"
"5990","Retail-Retail Stores, NEC","434"
"6199","Finance Services","430"
"5812","Retail-Eating  Places","429"
"1040","Gold and Silver Ores","419"
"3674","Semiconductors & Related Devices","392"
"6331","Fire, Marine & Casualty Insurance","389"
"7990","Services-Miscellaneous Amusement & Recreation","362"
"4832","Radio Broadcasting Stations","360"
"7371","Services-Computer Programming Services","323"
"2836","Biological Products, (No Diagnostic Substances)","311"
"5500","Retail-Auto Dealers & Gasoline Stations","311"
"4812","Radiotelephone Communications","308"
"7370","Services-Computer Programming, Data Processing, Etc.","306"
"3714","Motor Vehicle Parts & Accessories","286"
"7359","Services-Equipment Rental & Leasing, NEC","286"
"4841","Cable & Other Pay Television Services","283"
"1381","Drilling Oil & Gas Wells","275"
"8742","Services-Management Consulting Services","272"
"6221","Commodity Contracts Brokers & Dealers","269"
"4899","Communications Services, NEC","256"
"6036","Savings Institutions, Not Federally Chartered","248"
"8051","Services-Skilled Nursing Care Facilities","236"
"3663","Radio & Tv Broadcasting & Communications Equipment","232"
"7900","Services-Amusement & Recreation Services","232"
"6162","Mortgage Bankers & Loan Correspondents","232"
"2860","Industrial Organic Chemicals","231"
"5961","Retail-Catalog & Mail-Order Houses","225"
"3845","Electromedical & Electrotherapeutic Apparatus","223"
"7812","Services-Motion Picture & Video Tape Production","223"
"6211","Security Brokers, Dealers & Flotation Companies","219"
"1382","Oil & Gas Field Exploration Services","209"
"3661","Telephone & Telegraph Apparatus","200"
"1400","Mining & Quarrying of  Nonmetallic Minerals (No Fuels)","199"
"6512","Opeators of  Nonresidential Buildings","192"
"8090","Services-Misc Health & Allied Services, NEC","183"
"7310","Services-Advertising","179"
"8200","Services-Educational Services","177"
"4833","Television Broadcasting Stations","175"
"8731","Services-Commercial Physical & Biological Research","165"
"6799","Investors, NEC","162"
"3669","Communications Equipment, NEC","156"
"4931","Electric & Other Services Combined","155"
"1531","Operative Builders","155"
"2721","Periodicals: Publishing or  Publishing & Printing","155"
"8093","Services-Specialty Outpatient Facilities, NEC","154"
"6141","Personal Credit Institutions","150"
"6282","Investment Advice","150"
"7200","Services-Personal Services","142"
"2911","Petroleum Refining","139"
"3728","Aircraft Parts & Auxiliary Equipment, NEC","139"
"8711","Services-Engineering Services","138"
"5411","Retail-Grocery Stores","136"
"2080","Beverages","136"
"7311","Services-Advertising Agencies","136"
"6153","Short-Term Business Credit Institutions","135"
"3577","Computer Peripheral Equipment, NEC","133"
"4922","Natural Gas Transmission","133"
"3842","Orthopedic, Prosthetic & Surgical Appliances & Supplies","133"
"1389","Oil & Gas Field Services, NEC","131"
"6794","Patent Owners & Lessors","131"
"2835","In Vitro & In Vivo Diagnostic Substances","130"
"2833","Medicinal Chemicals & Botanical Products","128"
"3089","Plastics Products, NEC","125"
"8071","Services-Medical Laboratories","124"
"6513","Operators of  Apartment Buildings","120"
"5140","Wholesale-Groceries & Related Products","119"
"6552","Land Subdividers & Developers (No Cemeteries)","115"
"3711","Motor Vehicles & Passenger Car Bodies","114"
"3312","Steel Works, Blast Furnaces & Rolling Mills (Coke Ovens)","114"
"2090","Miscellaneous Food Preparations & Kindred Products","114"
"7380","Services-Miscellaneous Business Services","113"
"4512","Air Transportation, Scheduled","111"
"5900","Retail-Miscellaneous Retail","111"
"4953","Refuse Systems","110"
"3576","Computer Communications Equipment","110"
"3690","Miscellaneous Electrical Machinery, Equipment & Supplies","109"
"0100","Agricultural Production-Crops","109"
