"stateOfIncorporationDescription","count"
"DE","306725"
"Cayman Islands","26438"
"TX","21463"
"CA","16971"
"NY","16101"
"NV","10570"
"FL","10172"
"IL","6927"
"CO","6521"
"MD","5850"
"PA","5346"
"OH","5221"
"GA","5002"
"MA","4966"
"WA","4936"
"Luxembourg","4137"
"NC","4018"
"VA","3849"
"KS","3621"
"Virgin Islands, British","3331"
"United Kingdom","3226"
"NJ","3070"
"AZ","2997"
"MI","2876"
"WY","2819"
"MN","2627"
"TN","2593"
"IN","2591"
"UT","2510"
"Ontario, Canada","2362"
"British Columbia, Canada","2248"
"WI","2240"
"MO","2136"
"OR","2069"
"KY","1756"
"OK","1685"
"CT","1562"
"AL","1286"
"SC","1268"
"XX","1266"
"IA","1213"
"Ireland","1161"
"LA","1160"
"Bermuda","1125"
"VT","1095"
"AR","1038"
"Guernsey","902"
"Alberta, Canada","901"
"de","892"
"Jersey","883"
"Australia","801"
"ID","793"
"NE","778"
"Japan","771"
"Marshall Islands","700"
"Canada (Federal Level)","694"
"Hong Kong","644"
"MS","637"
"SD","595"
"Netherlands","584"
"NH","565"
"Singapore","534"
"ME","525"
"Israel","508"
"WV","498"
"Germany","461"
"Mauritius","457"
"DC","445"
"France","444"
"NM","418"
"PR","416"
"ND","407"
"Switzerland","390"
"HI","380"
"China","330"
"MT","325"
"RI","320"
"United States","310"
"Quebec, Canada","302"
"Sweden","297"
"Mexico","258"
"Brazil","255"
"India","235"
"AK","233"
"Bahamas","211"
"Liberia","161"
"ca","159"
"Spain","151"
"Korea, Republic of","150"
"Panama","148"
"Cyprus","147"
"Jamaica","141"
"Nova Scotia, Canada","128"
"Denmark","123"
"Italy","116"
"tx","115"
"Norway","102"
"Belgium","81"
"Malta","81"
"South Africa","80"
"United Arab Emirates","75"
"New Zealand","73"
"Gibraltar","72"
"Netherlands Antilles","71"
"Malaysia","69"
"Taiwan, Province of China","68"
"Chile","62"
"Barbados","59"
"Manitoba, Canada","59"
"nv","58"
"fl","57"
"Finland","56"
"ny","52"
"VI","47"
"Russian Federation","47"
"Argentina","46"
"Isle of Man","46"
"Belize","44"
"Austria","42"
"Seychelles","40"
"co","37"
"wa","36"
"pa","34"
"Saskatchewan, Canada","32"
"New Brunswick, Canada","32"
"Samoa","31"
"md","30"
"Poland","29"
"Yukon, Canada","28"
"Portugal","28"
"il","28"
"Liechtenstein","27"
"ut","26"
"xx","25"
"Saint Kitts and Nevis","24"
"oh","24"
"Estonia","23"
"Hungary","23"
"Philippines","22"
"ga","22"
"Iceland","20"
"mo","20"
"Turks and Caicos Islands","19"
"Uruguay","19"
"az","19"
"Thailand","18"
"Peru","18"
"or","18"
"va","18"
"Anguilla","17"
"Macau","16"
"Saudi Arabia","16"
"nc","16"
"Costa Rica","15"
"British Indian Ocean Territory","15"
"ky","15"
"id","15"
"Turkey","13"
"Cook Islands","13"
"Czech Republic","13"
"Saint Lucia","13"
"ma","13"
"in","13"
"Monaco","12"
"Colombia","12"
"Greece","12"
"mi","11"
"al","11"
"Indonesia","10"
"Mongolia","10"
"ok","10"
"nj","10"
"I8","9"
"wi","9"
"E6","8"
"Newfoundland, Canada","8"
"Qatar","8"
"me","8"
"Paraguay","8"
"GU","7"
"Ukraine","7"
"sd","7"
"Prince Edward Island, Canada","6"
"Saint Vincent and the Grenadines","6"
"I9","6"
"Antigua and Barbuda","6"
"mn","6"
"ne","6"
"ar","6"
"wy","6"
"tn","6"
"Congo, the Democratic Republic of the","5"
"Korea, Democratic People's Republic of","5"
"Grenada","5"
"X9","5"
"Morocco","5"
"Georgia (country)","5"
"Tanzania, United Republic of","5"
"Kazakhstan","5"
"Egypt","5"
"ct","5"
"Ethiopia","5"
"Dominican Republic","4"
"Kuwait","4"
"Ghana","4"
"Guyana","4"
"United States Minor Outlying Islands","4"
"De","4"
"la","4"
"hi","4"
"nm","4"
"nd","4"
"ks","4"
"Zimbabwe","3"
"E7","3"
"Venezuela","3"
"Croatia","3"
"Slovakia","3"
"Slovenia","3"
"Bulgaria","3"
"Romania","3"
"El Salvador","3"
"Haiti","3"
"Trinidad and Tobago","3"
"Oman","3"
"Ecuador","3"
"sc","3"
"ms","3"
"ia","3"
"dc","3"
"Nigeria","3"
"Faroe Islands","2"
"Myanmar","2"
"Swaziland","2"
"Pakistan","2"
"Uganda","2"
"Dominica","2"
"vt","2"
"nh","2"
"wv","2"
"Ca","2"
"Lebanon","2"
"Guatemala","2"
"Honduras","2"
"Antarctica","2"
"Papua New Guinea","2"
"Brunei Darussalam","2"
"U2","1"
"O6","1"
"Bosnia and Herzegovina","1"
"Serbia","1"
"Kenya","1"
"Zambia","1"
"Cocos (Keeling) Islands","1"
"Il","1"
"In","1"
"Tn","1"
"mt","1"
"ak","1"
"Al","1"
"Fl","1"
"Tajikistan","1"
"Nicaragua","1"
"Micronesia, Federated States of","1"
"Bahrain","1"
"Bhutan","1"
"Christmas Island","1"
"Fiji","1"
"Falkland Islands (Malvinas)","1"
"Viet Nam","1"
"Jordan","1"
"Namibia","1"
"French Polynesia","1"
"American Samoa","1"
"Belarus","1"
"Northern Mariana Islands","1"
"Madagascar","1"
"Gabon","1"
"Central African Republic","1"
"Wallis and Futuna","1"
"Lithuania","1"
"Aruba","1"
"Macedonia, the Former Yugoslav Republic of","1"
