filing_date,component,url,ownerOrg,name,cik
2025-06-30,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1992870/000114036125024065/ef20047701_10k.htm#:~:text=bitcoin&text=BTC&text=bitcoin%20adoption&text=cryptocurrency%20adoption,Crypto Assets,Franklin Templeton Digital Holdings Trust,1992870
2025-06-30,adoption_domestic,https://www.sec.gov/Archives/edgar/data/2011535/000114036125024064/ef20047661_10k.htm#:~:text=bitcoin&text=BTC&text=bitcoin%20adoption&text=cryptocurrency%20adoption,Crypto Assets,Franklin Ethereum Trust,2011535
2025-06-13,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1688126/000164117225015110/form10-k.htm#:~:text=bitcoin&text=BTC&text=bitcoin%20adoption&text=cryptocurrency%20adoption,Technology,Crypto Co,1688126
2025-07-11,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1553788/000173112225000964/e6689_10-k.htm#:~:text=bitcoin&text=BTC&text=bitcoin%20adoption&text=cryptocurrency%20adoption,Manufacturing,"SPLASH BEVERAGE GROUP, INC.",1553788
2025-06-20,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1845149/000121390025056165/ea0245307-10k_chain1.htm#:~:text=bitcoin&text=BTC&text=bitcoin%20adoption&text=cryptocurrency%20adoption,Real Estate & Construction,Chain Bridge I,1845149
2025-05-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/849399/000084939925000033/gen-20250328.htm#:~:text=bitcoin&text=BTC&text=bitcoin%20adoption&text=cryptocurrency%20adoption,Technology,Gen Digital Inc.,849399
2025-05-15,holdings_domestic,https://www.sec.gov/Archives/edgar/data/1640384/000095017025071990/lmfa-ex99_2.htm#:~:text=bitcoin%20holdings&text=BTC%20holdings&text=cryptocurrency%20holdings&text=digital%20asset%20holdings,Crypto Assets,"LM FUNDING AMERICA, INC.",1640384
2025-06-10,holdings_domestic,https://www.sec.gov/Archives/edgar/data/1820302/000119312525138191/d76438dex991.htm#:~:text=bitcoin%20holdings&text=BTC%20holdings&text=cryptocurrency%20holdings&text=digital%20asset%20holdings,Crypto Assets,"Bakkt, Inc.",1820302
2025-05-27,holdings_domestic,https://www.sec.gov/Archives/edgar/data/1050446/000095017025077387/mstr-ex99_1.htm#:~:text=bitcoin%20holdings&text=BTC%20holdings&text=cryptocurrency%20holdings&text=digital%20asset%20holdings,Crypto Assets,Strategy Inc,1050446
2025-07-17,holdings_domestic,https://www.sec.gov/Archives/edgar/data/1829794/000168316825005160/volcon_ex9903.htm#:~:text=bitcoin%20holdings&text=BTC%20holdings&text=cryptocurrency%20holdings&text=digital%20asset%20holdings,Manufacturing,Empery Digital Inc.,1829794
