filing_date,component,url,ownerOrg,name,cik
2025-06-30,adoption_domestic,https://www.sec.gov/Archives/edgar/data/2011535/000114036125024064/ef20047661_10k.htm#:~:text=decentralized%20finance&text=DeFi&text=liquidity%20pool&text=yield%20farming&text=decentralized%20exchange,Crypto Assets,Franklin Ethereum Trust,2011535
2025-06-09,protocols_domestic,https://www.sec.gov/Archives/edgar/data/918251/000114036125021940/ef20046978_10k.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Manufacturing,MOTORCAR PARTS OF AMERICA INC,918251
2025-05-29,protocols_domestic,https://www.sec.gov/Archives/edgar/data/1498148/000164117225012903/form10-k.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Technology,Artificial Intelligence Technology Solutions Inc.,1498148
2025-07-10,protocols_domestic,https://www.sec.gov/Archives/edgar/data/1348911/000095017025095011/kalv-ex10_23.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Life Sciences,"KalVista Pharmaceuticals, Inc.",1348911
2025-07-11,protocols_domestic,https://www.sec.gov/Archives/edgar/data/723531/000095017025095300/payx-ex10_28.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Trade & Services,PAYCHEX INC,723531
2025-07-15,protocols_domestic,https://www.sec.gov/Archives/edgar/data/1630113/000164117225019755/form10-k.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Industrial Applications and Services,BIOTRICITY INC.,1630113
2025-06-30,protocols_domestic,https://www.sec.gov/Archives/edgar/data/1460702/000164117225017212/form10-k.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Crypto Assets,"AIxCrypto Holdings, Inc.",1460702
2025-06-24,protocols_domestic,https://www.sec.gov/Archives/edgar/data/1840102/000152013825000183/spty-20241231_10k.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Trade & Services,"SPECIFICITY, INC.",1840102
2025-06-05,protocols_domestic,https://www.sec.gov/Archives/edgar/data/1497253/000095017025082312/vivs-20250331.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Life Sciences,"VivoSim Labs, INC.",1497253
2025-07-14,protocols_domestic,https://www.sec.gov/Archives/edgar/data/849401/000143774925022670/admt20250331_10k.htm#:~:text=Uniswap&text=Aave&text=Compound&text=MakerDAO&text=lending%20protocol&text=DEX,Industrial Applications and Services,"ADM TRONICS UNLIMITED, INC.",849401
