ownerOrg,period,count,component
Crypto Assets,0,1,adoption_domestic
Crypto Assets,1,38,adoption_domestic
Energy & Transportation,0,1,adoption_domestic
Energy & Transportation,1,1,adoption_domestic
Finance,1,6,adoption_domestic
Industrial Applications and Services,1,1,adoption_domestic
Life Sciences,1,4,adoption_domestic
Manufacturing,1,1,adoption_domestic
Real Estate & Construction,1,3,adoption_domestic
Technology,1,5,adoption_domestic
Trade & Services,1,7,adoption_domestic
Crypto Assets,0,3,protocols_domestic
Crypto Assets,1,36,protocols_domestic
Energy & Transportation,0,5,protocols_domestic
Energy & Transportation,1,161,protocols_domestic
Finance,0,1,protocols_domestic
Finance,1,105,protocols_domestic
Industrial Applications and Services,0,5,protocols_domestic
Industrial Applications and Services,1,154,protocols_domestic
Life Sciences,0,14,protocols_domestic
Life Sciences,1,485,protocols_domestic
Manufacturing,0,16,protocols_domestic
Manufacturing,1,147,protocols_domestic
Real Estate & Construction,0,1,protocols_domestic
Real Estate & Construction,1,69,protocols_domestic
Technology,0,8,protocols_domestic
Technology,1,121,protocols_domestic
Trade & Services,0,14,protocols_domestic
Trade & Services,1,90,protocols_domestic
Crypto Assets,1,2,risk_domestic
