filing_date,component,url,ownerOrg,name,cik
2025-06-30,adoption_domestic,https://www.sec.gov/Archives/edgar/data/2011535/000114036125024064/ef20047661_10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,Franklin Ethereum Trust,2011535
2025-04-09,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1919182/000117152025000088/eps11833_efbi.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,Universal Token,1919182
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1740742/000182912625002700/unicoininc_10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,Unicoin Inc.,1740742
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1499275/000113902025000067/sanp_10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,"GROOVY COMPANY, INC.",1499275
2025-06-30,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1992870/000114036125024065/ef20047701_10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,Franklin Templeton Digital Holdings Trust,1992870
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1737523/000147793225002725/bglc_10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Industrial Applications and Services,BioNexus Gene Lab Corp,1737523
2025-04-09,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1597846/000164117225003336/form10-k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Trade & Services,Greenpro Capital Corp.,1597846
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1665300/000095017025047919/phun-20241231.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,"Phunware, Inc.",1665300
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1690080/000121390025026273/ea0235286-10k_180life.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,FORUM MARKETS Inc,1690080
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1640384/000095017025047901/lmfa-20241231.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,"LM FUNDING AMERICA, INC.",1640384
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1662684/000141057825000551/tmb-20241231x10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Manufacturing,"KULR Technology Group, Inc.",1662684
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/896493/000121465925005868/r4925210k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Energy & Transportation,"Hyperscale Data, Inc.",896493
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1682149/000141057825000600/dvlt-20241231x10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Trade & Services,Datavault AI Inc.,1682149
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/88000/000095017025047560/slgdd-20241231.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Finance,Horizon Kinetics Holding Corp,88000
2025-04-02,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1859199/000121390025027581/ea0236247-10k_realpha.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Real Estate & Construction,reAlpha Tech Corp.,1859199
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1454742/000164117225001868/form10-k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,"GOOD GAMING, INC.",1454742
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1064722/000164117225004864/form10-k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Real Estate & Construction,GIVEMEPOWER CORP,1064722
2025-04-11,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1580490/000164117225003678/form10-k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,I-ON Digital Corp.,1580490
2025-06-16,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1473490/000164117225015188/form10-k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Trade & Services,"Global AI, Inc.",1473490
2025-05-16,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1710495/000113902025000132/pnxp-20250131.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,PINEAPPLE EXPRESS CANNABIS Co,1710495
2025-07-22,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1765048/000176504825000016/gcgjreport10k_2024.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,GUOCHUN INTERNATIONAL INC.,1765048
2025-04-16,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1338929/000147793225002774/ahro_10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Trade & Services,"Authentic Holdings, Inc.",1338929
2025-06-02,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1782107/000121390025049687/ea0244122-10k_onconetix.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Life Sciences,"Onconetix, Inc.",1782107
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1755953/000121390025026404/ea0235701-10k_gryphon.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,American Bitcoin Corp.,1755953
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1419793/000121390025026104/ea0231775-10k_originclear.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,"ORIGINCLEAR, INC.",1419793
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1648960/000101376225004290/ea0234787-10k_datchat.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,"Myseum, Inc.",1648960
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1527702/000166357725000086/iqst10k_123124.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,iQSTEL Inc,1527702
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1706509/000121390025031761/ea0235356-10k_cosmos.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,Cosmos Group Holdings Inc.,1706509
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/2039497/000141057825000595/rhld-20241231x10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,"Resolute Holdings Management, Inc.",2039497
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1844971/000162828025015543/gree-20241231.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,Greenidge Generation Holdings Inc.,1844971
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/64463/000164117225001756/form10-k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Crypto Assets,"Soluna Holdings, Inc",64463
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1376321/000117184325002214/cnet20241231_10k.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Technology,ZW Data Action Technologies Inc.,1376321
2025-06-20,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1845149/000121390025056165/ea0245307-10k_chain1.htm#:~:text=ethereum&text=ETH&text=smart%20contract&text=smart%20contracts,Real Estate & Construction,Chain Bridge I,1845149
2025-04-25,development_domestic,https://www.sec.gov/Archives/edgar/data/1848672/000109690625000593/gdlg-20250131.htm#:~:text=ethereum%20development&text=smart%20contract%20development&text=blockchain%20development&text=web3%20development,Technology,Glidelogic Corp.,1848672
2025-04-15,development_domestic,https://www.sec.gov/Archives/edgar/data/1499275/000113902025000067/sanp_10k.htm#:~:text=ethereum%20development&text=smart%20contract%20development&text=blockchain%20development&text=web3%20development,Technology,"GROOVY COMPANY, INC.",1499275
2025-06-30,development_domestic,https://www.sec.gov/Archives/edgar/data/2011535/000114036125024064/ef20047661_10k.htm#:~:text=ethereum%20development&text=smart%20contract%20development&text=blockchain%20development&text=web3%20development,Crypto Assets,Franklin Ethereum Trust,2011535
2025-03-31,risk_domestic,https://www.sec.gov/Archives/edgar/data/895464/000164033425000547/yubo_ex102.htm#:~:text=ethereum%20risk&text=smart%20contract%20risk&text=smart%20contract%20vulnerability&text=gas%20fees,Industrial Applications and Services,Yubo International Biotech Ltd,895464
2025-06-30,risk_domestic,https://www.sec.gov/Archives/edgar/data/2011535/000114036125024064/ef20047661_10k.htm#:~:text=ethereum%20risk&text=smart%20contract%20risk&text=smart%20contract%20vulnerability&text=gas%20fees,Crypto Assets,Franklin Ethereum Trust,2011535
2025-04-15,risk_domestic,https://www.sec.gov/Archives/edgar/data/1740742/000182912625002700/unicoininc_10k.htm#:~:text=ethereum%20risk&text=smart%20contract%20risk&text=smart%20contract%20vulnerability&text=gas%20fees,Technology,Unicoin Inc.,1740742
