filing_date,component,url,ownerOrg,name,cik
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1499275/000113902025000067/sanp_10k.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Technology,"GROOVY COMPANY, INC.",1499275
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1706509/000121390025031761/ea0235356-10k_cosmos.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Crypto Assets,Cosmos Group Holdings Inc.,1706509
2025-05-12,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1515139/000164117225009550/form10-k.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Trade & Services,WASTE ENERGY CORP.,1515139
2025-05-16,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1710495/000113902025000132/pnxp-20250131.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Technology,PINEAPPLE EXPRESS CANNABIS Co,1710495
2025-04-16,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1338929/000147793225002774/ahro_10k.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Trade & Services,"Authentic Holdings, Inc.",1338929
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1376321/000117184325002214/cnet20241231_10k.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Technology,ZW Data Action Technologies Inc.,1376321
2025-06-23,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1811999/000109690625000995/fmhs-20241231.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Technology,"FARMHOUSE, INC. /NV",1811999
2025-06-30,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1173204/000095017025091741/cnvs-20250331.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Trade & Services,Cineverse Corp.,1173204
2025-06-27,adoption_domestic,https://www.sec.gov/Archives/edgar/data/56679/000162828025033260/kfy-20250430xexx1053.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Trade & Services,KORN FERRY,56679
2025-07-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/774415/000168316825005108/onesolution_i10k-033125.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Manufacturing,"King Resources, Inc.",774415
2025-04-25,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1848672/000109690625000593/gdlg-20250131.htm#:~:text=NFT&text=non-fungible%20token&text=digital%20collectible&text=digital%20art&text=metaverse,Technology,Glidelogic Corp.,1848672
