filing_date,component,url,ownerOrg,name,cik
2025-04-15,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1740742/000182912625002700/unicoininc_10k.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Technology,Unicoin Inc.,1740742
2025-06-30,adoption_domestic,https://www.sec.gov/Archives/edgar/data/2011535/000114036125024064/ef20047661_10k.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Crypto Assets,Franklin Ethereum Trust,2011535
2025-06-30,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1992870/000114036125024065/ef20047701_10k.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Crypto Assets,Franklin Templeton Digital Holdings Trust,1992870
2025-04-09,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1597846/000164117225003336/form10-k.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Trade & Services,Greenpro Capital Corp.,1597846
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1702924/000164117225001416/form10-k.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Manufacturing,"WRAP TECHNOLOGIES, INC.",1702924
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1657325/000095017025047270/ck0001657325-ex33_7.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Office of Structured Finance,Citigroup Commercial Mortgage Trust 2015-GC35,1657325
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1987419/000188852425006454/bmo23c06_33-7.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Office of Structured Finance,BMO 2023-C6 Mortgage Trust,1987419
2025-03-28,adoption_domestic,https://www.sec.gov/Archives/edgar/data/2006440/000188852425006411/bmo245c3_33-1.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Office of Structured Finance,BMO 2024-5C3 Mortgage Trust,2006440
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1783287/000095017025047082/ck0001783287-ex33_7.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Office of Structured Finance,CITIGROUP COMMERCIAL MORTGAGE TRUST 2019-GC41,1783287
2025-03-31,adoption_domestic,https://www.sec.gov/Archives/edgar/data/1663645/000188852425006439/ccm16g36_33-17.htm#:~:text=stablecoin&text=USDC&text=USDT&text=USD%20Coin&text=Tether&text=stable%20coin,Office of Structured Finance,CITIGROUP COMMERCIAL MORTGAGE TRUST 2016-GC36,1663645
