filing_date,component,url,ownerOrg,name,cik
2025-03-20,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1999480/000199948025000025/exhibit106-2025inducementp.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Life Sciences,"Alto Neuroscience, Inc.",1999480
2025-03-25,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1768446/000095017025044350/clym-ex10_1.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Life Sciences,"Climb Bio, Inc.",1768446
2025-03-20,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1638287/000155837025003386/mtva-20241231xex10d7.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Life Sciences,MetaVia Inc.,1638287
2025-03-21,diversity_domestic,https://www.sec.gov/Archives/edgar/data/87050/000101376225000774/ea0233400-10k_neonode.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Manufacturing,Neonode Inc.,87050
2025-03-20,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1832038/000095017025042332/ivvd-ex10_2.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Life Sciences,"Invivyd, Inc.",1832038
2025-03-20,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1709941/000095017025042759/bioa-ex10_2.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Life Sciences,"BioAge Labs, Inc.",1709941
2025-03-25,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1295514/000164117225000596/form10-k.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Manufacturing,"MDWerks, Inc.",1295514
2025-03-24,diversity_domestic,https://www.sec.gov/Archives/edgar/data/60667/000006066725000049/low-20250131.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Trade & Services,LOWES COMPANIES INC,60667
2025-03-26,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1088034/000143774925009368/usio20241231_10k.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Finance,"Usio, Inc.",1088034
2025-03-20,diversity_domestic,https://www.sec.gov/Archives/edgar/data/1448431/000121390025025576/ea0234670-10k_optimize.htm#:~:text=workforce%20diversity&text=diverse%20workforce&text=diversity%20in%20workplace&text=gender%20diversity&text=gender%20representation&text=gender%20balance&text=racial%20diversity&text=ethnic%20diversity&text=racial%20representation&text=diversity%20goals&text=representation%20targets&text=diversity%20metrics,Trade & Services,OptimizeRx Corp,1448431
