ownerOrg,period,count,component
Crypto Assets,0,1,diversity_domestic
Crypto Assets,1,10,diversity_domestic
Energy & Transportation,0,67,diversity_domestic
Energy & Transportation,1,185,diversity_domestic
Finance,0,76,diversity_domestic
Finance,1,162,diversity_domestic
Industrial Applications and Services,0,46,diversity_domestic
Industrial Applications and Services,1,113,diversity_domestic
Life Sciences,0,62,diversity_domestic
Life Sciences,1,128,diversity_domestic
Manufacturing,0,46,diversity_domestic
Manufacturing,1,140,diversity_domestic
Real Estate & Construction,0,34,diversity_domestic
Real Estate & Construction,1,100,diversity_domestic
Technology,0,36,diversity_domestic
Technology,1,134,diversity_domestic
Trade & Services,0,40,diversity_domestic
Trade & Services,1,163,diversity_domestic
Crypto Assets,0,15,equity_domestic
Crypto Assets,1,20,equity_domestic
Energy & Transportation,0,92,equity_domestic
Energy & Transportation,1,192,equity_domestic
Finance,0,162,equity_domestic
Finance,1,184,equity_domestic
Industrial Applications and Services,0,105,equity_domestic
Industrial Applications and Services,1,186,equity_domestic
Life Sciences,0,145,equity_domestic
Life Sciences,1,219,equity_domestic
Manufacturing,0,95,equity_domestic
Manufacturing,1,231,equity_domestic
Real Estate & Construction,0,115,equity_domestic
Real Estate & Construction,1,245,equity_domestic
Technology,0,116,equity_domestic
Technology,1,202,equity_domestic
Trade & Services,0,129,equity_domestic
Trade & Services,1,241,equity_domestic
Crypto Assets,0,5,inclusion_domestic
Crypto Assets,1,10,inclusion_domestic
Energy & Transportation,0,74,inclusion_domestic
Energy & Transportation,1,121,inclusion_domestic
Finance,0,130,inclusion_domestic
Finance,1,164,inclusion_domestic
Industrial Applications and Services,0,66,inclusion_domestic
Industrial Applications and Services,1,98,inclusion_domestic
Life Sciences,0,49,inclusion_domestic
Life Sciences,1,72,inclusion_domestic
Manufacturing,0,69,inclusion_domestic
Manufacturing,1,150,inclusion_domestic
Real Estate & Construction,0,43,inclusion_domestic
Real Estate & Construction,1,80,inclusion_domestic
Technology,0,78,inclusion_domestic
Technology,1,167,inclusion_domestic
Trade & Services,0,90,inclusion_domestic
Trade & Services,1,176,inclusion_domestic
Crypto Assets,1,3,diversity_international
Energy & Transportation,0,12,diversity_international
Energy & Transportation,1,24,diversity_international
Finance,0,16,diversity_international
Finance,1,30,diversity_international
Industrial Applications and Services,0,7,diversity_international
Industrial Applications and Services,1,9,diversity_international
Life Sciences,0,6,diversity_international
Life Sciences,1,21,diversity_international
Manufacturing,0,10,diversity_international
Manufacturing,1,31,diversity_international
Real Estate & Construction,0,3,diversity_international
Real Estate & Construction,1,4,diversity_international
Technology,0,5,diversity_international
Technology,1,20,diversity_international
Trade & Services,0,3,diversity_international
Trade & Services,1,13,diversity_international
Crypto Assets,1,4,equity_international
Energy & Transportation,0,13,equity_international
Energy & Transportation,1,36,equity_international
Finance,0,12,equity_international
Finance,1,28,equity_international
Industrial Applications and Services,0,15,equity_international
Industrial Applications and Services,1,22,equity_international
Life Sciences,0,13,equity_international
Life Sciences,1,37,equity_international
Manufacturing,0,18,equity_international
Manufacturing,1,47,equity_international
Real Estate & Construction,0,2,equity_international
Real Estate & Construction,1,4,equity_international
Technology,0,26,equity_international
Technology,1,53,equity_international
Trade & Services,0,9,equity_international
Trade & Services,1,28,equity_international
Crypto Assets,1,1,inclusion_international
Energy & Transportation,0,8,inclusion_international
Energy & Transportation,1,21,inclusion_international
Finance,0,10,inclusion_international
Finance,1,17,inclusion_international
Industrial Applications and Services,0,6,inclusion_international
Industrial Applications and Services,1,7,inclusion_international
Life Sciences,0,3,inclusion_international
Life Sciences,1,9,inclusion_international
Manufacturing,0,7,inclusion_international
Manufacturing,1,18,inclusion_international
Real Estate & Construction,0,1,inclusion_international
Real Estate & Construction,1,3,inclusion_international
Technology,0,8,inclusion_international
Technology,1,17,inclusion_international
Trade & Services,0,1,inclusion_international
Trade & Services,1,10,inclusion_international
