filing_date,component,url,ownerOrg,name,cik
2025-03-14,environmental_domestic,https://www.sec.gov/Archives/edgar/data/1528356/000121390025024009/gne-20241231.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,Genie Energy Ltd.,1528356
2025-03-17,environmental_domestic,https://www.sec.gov/Archives/edgar/data/788965/000155837025003141/hnrg-20241231x10k.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,HALLADOR ENERGY CO,788965
2025-03-27,environmental_domestic,https://www.sec.gov/Archives/edgar/data/881787/000095017025045909/crt_2024_10-k.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,CROSS TIMBERS ROYALTY TRUST,881787
2025-03-17,environmental_domestic,https://www.sec.gov/Archives/edgar/data/1831481/000183148125000016/socc-20241231.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,Sable Offshore Corp.,1831481
2025-03-17,environmental_domestic,https://www.sec.gov/Archives/edgar/data/1084991/000108499125000024/ngs-20241231.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,NATURAL GAS SERVICES GROUP INC,1084991
2025-03-20,environmental_domestic,https://www.sec.gov/Archives/edgar/data/1911467/000109690625000275/crcl-20241231.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,"Circle Energy, Inc./NV",1911467
2025-03-20,environmental_domestic,https://www.sec.gov/Archives/edgar/data/1371782/000110465925026134/tm251071-1_10k.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,MV Oil Trust,1371782
2025-03-18,environmental_domestic,https://www.sec.gov/Archives/edgar/data/1606909/000160690925000097/panl-20241231.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,Pangaea Logistics Solutions Ltd.,1606909
2025-03-14,environmental_domestic,https://www.sec.gov/Archives/edgar/data/319654/000095017025039308/pbt_10-k_2024-12-31.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,PERMIAN BASIN ROYALTY TRUST,319654
2025-03-27,environmental_domestic,https://www.sec.gov/Archives/edgar/data/1690384/000173112225000459/e6410_10-k.htm#:~:text=GHG%20emissions&text=greenhouse%20gas%20emissions&text=emissions%20reduction&text=scope%201%20emissions&text=scope%202%20emissions&text=scope%203%20emissions&text=climate%20transition&text=climate%20adaptation&text=climate%20resilience&text=climate%20strategy&text=renewable%20energy&text=clean%20energy&text=energy%20efficiency&text=water%20stewardship&text=waste%20reduction&text=circular%20economy&text=net%20zero%20target&text=carbon%20neutral&text=science-based%20targets&text=sustainability%20metrics&text=ESG%20metrics,Energy & Transportation,"BioCrude Technologies USA, Inc.",1690384
