filing_date,component,url,ownerOrg,name,cik
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1166388/000116638825000014/vrnt-20250131.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,VERINT SYSTEMS INC,1166388
2025-03-18,domestic,https://www.sec.gov/Archives/edgar/data/746210/000143774925008262/oblg20241231_10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"TaoWeave, Inc.",746210
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1886894/000164117225000784/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"Snail, Inc.",1886894
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1117480/000111748025000004/cmrx-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,CHIMERIX INC,1117480
2025-03-25,domestic,https://www.sec.gov/Archives/edgar/data/352955/000143774925009075/ckx20241231_10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Energy & Transportation,"CKX LANDS, INC.",352955
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1374690/000095017025043925/lrmr-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Larimar Therapeutics, Inc.",1374690
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1947210/000143774925008652/hrol20241231_10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,"High Roller Technologies, Inc.",1947210
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1574235/000149315225011084/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Pulmatrix, Inc.",1574235
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1649744/000164974425000006/dlth-20250202x10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,DULUTH HOLDINGS INC.,1649744
2025-03-19,domestic,https://www.sec.gov/Archives/edgar/data/318833/000031883325000015/tisi-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Trade & Services,TEAM INC,318833
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1468748/000095017025046098/kod-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,Kodiak Sciences Inc.,1468748
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1787740/000095017025043234/tivc-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Industrial Applications and Services,"Tivic Health Systems, Inc.",1787740
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1393052/000139305225000022/veev-20250131.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,VEEVA SYSTEMS INC,1393052
2025-03-18,domestic,https://www.sec.gov/Archives/edgar/data/1710340/000143774925008136/eton20241231_10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Eton Pharmaceuticals, Inc.",1710340
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/1899287/000189928725000012/ampx-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Manufacturing,"Amprius Technologies, Inc.",1899287
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1482541/000164117225000913/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Industrial Applications and Services,CEA Industries Inc.,1482541
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/1426800/000095017025042673/asmb-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"ASSEMBLY BIOSCIENCES, INC.",1426800
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1750149/000095017025046096/ikt-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Inhibikase Therapeutics, Inc.",1750149
2025-03-19,domestic,https://www.sec.gov/Archives/edgar/data/1850119/000155837025003299/ipsc-20241231x10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Century Therapeutics, Inc.",1850119
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1643154/000095017025043874/ithuf-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Industrial Applications and Services,"iANTHUS CAPITAL HOLDINGS, INC.",1643154
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1196298/000164117225000234/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Industrial Applications and Services,NEPHROS INC,1196298
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/72444/000143774925008572/vxrt20241231_10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Vaxart, Inc.",72444
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1805526/000101376225003260/ea0232007-10k_janover.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Crypto Assets,DeFi Development Corp.,1805526
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1994702/000095017025046074/kytx-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Kyverna Therapeutics, Inc.",1994702
2025-03-25,domestic,https://www.sec.gov/Archives/edgar/data/838875/000119983525000089/wvvi-10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Manufacturing,WILLAMETTE VALLEY VINEYARDS INC,838875
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1734722/000173472225000007/path-20250131.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"UiPath, Inc.",1734722
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/797542/000149315225011100/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,Viewbix Inc.,797542
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/1855447/000095017025042645/tygo-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Manufacturing,"TIGO ENERGY, INC.",1855447
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/1821175/000149315225011033/form10-k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,Motorsport Games Inc.,1821175
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/733590/000073359025000004/tci-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Real Estate & Construction,TRANSCONTINENTAL REALTY INVESTORS INC,733590
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/1102238/000110223825000004/arl-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Real Estate & Construction,AMERICAN REALTY INVESTORS INC,1102238
2025-03-25,domestic,https://www.sec.gov/Archives/edgar/data/1645666/000164566625000010/kzr-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Kezar Life Sciences, Inc.",1645666
2025-03-21,domestic,https://www.sec.gov/Archives/edgar/data/1698538/000095017025043115/sssht-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Real Estate & Construction,"Strategic Student & Senior Housing Trust, Inc.",1698538
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1211583/000155837025003710/fencf-20241231x10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,FENNEC PHARMACEUTICALS INC.,1211583
2025-03-20,domestic,https://www.sec.gov/Archives/edgar/data/1516551/000151655125000027/skye-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Skye Bioscience, Inc.",1516551
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1339005/000114036125010598/ef20038998_10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Industrial Applications and Services,FEMASYS INC,1339005
2025-03-25,domestic,https://www.sec.gov/Archives/edgar/data/1642896/000164289625000022/iot-20250201.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,Samsara Inc.,1642896
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1863127/000095017025046124/tyra-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Tyra Biosciences, Inc.",1863127
2025-03-26,domestic,https://www.sec.gov/Archives/edgar/data/1099160/000095017025045211/bbgi-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,BEASLEY BROADCAST GROUP INC,1099160
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/1984086/000095017025045745/sepn-20241231.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Life Sciences,"Septerna, Inc.",1984086
2025-03-24,domestic,https://www.sec.gov/Archives/edgar/data/1355839/000101376225001600/ea0233784-10k_intelligent.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,INTELLIGENT PROTECTION MANAGEMENT CORP.,1355839
2025-03-27,domestic,https://www.sec.gov/Archives/edgar/data/2030781/000203078125000011/spparent-20250131x10k.htm#:~:text=we%20rely%20on%20third-party&text=we%20engage%20third-party,Technology,"SailPoint, Inc.",2030781
