ownerOrg,period,count,component
Crypto Assets,1,17,domestic
Energy & Transportation,1,97,domestic
Finance,1,96,domestic
Industrial Applications and Services,1,106,domestic
Life Sciences,1,219,domestic
Manufacturing,1,120,domestic
Real Estate & Construction,1,78,domestic
Technology,1,159,domestic
Trade & Services,1,114,domestic
Energy & Transportation,1,9,international
Finance,1,1,international
Industrial Applications and Services,1,8,international
Life Sciences,1,19,international
Manufacturing,1,13,international
Real Estate & Construction,1,2,international
Technology,1,27,international
Trade & Services,1,12,international
