filing_date,component,url,ownerOrg,name,cik
2025-03-28,general_domestic,https://www.sec.gov/Archives/edgar/data/1280263/000095017025046499/amba-20250131.htm#:~:text=Large%20Language%20Models,Manufacturing,AMBARELLA INC,1280263
2025-03-28,general_domestic,https://www.sec.gov/Archives/edgar/data/1946573/000164117225001314/form10-k.htm#:~:text=Large%20Language%20Models,Crypto Assets,Nakamoto Inc.,1946573
2025-03-26,general_domestic,https://www.sec.gov/Archives/edgar/data/1836833/000183683325000050/pl-20250131.htm#:~:text=Large%20Language%20Models,Manufacturing,Planet Labs PBC,1836833
2025-03-25,general_domestic,https://www.sec.gov/Archives/edgar/data/1566610/000164117225000518/form10-k.htm#:~:text=Large%20Language%20Models,Trade & Services,TON Strategy Co,1566610
2025-03-26,general_domestic,https://www.sec.gov/Archives/edgar/data/1583708/000158370825000051/s-20250131.htm#:~:text=Large%20Language%20Models,Technology,"SentinelOne, Inc.",1583708
2025-03-26,general_domestic,https://www.sec.gov/Archives/edgar/data/1886894/000164117225000784/form10-k.htm#:~:text=Large%20Language%20Models,Technology,"Snail, Inc.",1886894
2025-03-26,general_domestic,https://www.sec.gov/Archives/edgar/data/1166388/000116638825000014/vrnt-20250131.htm#:~:text=Large%20Language%20Models,Technology,VERINT SYSTEMS INC,1166388
2025-03-27,general_domestic,https://www.sec.gov/Archives/edgar/data/2030781/000203078125000011/spparent-20250131x10k.htm#:~:text=Large%20Language%20Models,Technology,"SailPoint, Inc.",2030781
2025-03-27,general_domestic,https://www.sec.gov/Archives/edgar/data/1964979/000095017025046063/alur-20241231.htm#:~:text=Large%20Language%20Models,Industrial Applications and Services,"ALLURION TECHNOLOGIES, INC.",1964979
2025-03-28,openai_domestic,https://www.sec.gov/Archives/edgar/data/1946573/000164117225001314/form10-k.htm#:~:text=OpenAI%20%20Large%20Language%20Models&text=ChatGPT%20%20Large%20Language%20Models,Crypto Assets,Nakamoto Inc.,1946573
2025-03-26,openai_domestic,https://www.sec.gov/Archives/edgar/data/1583708/000158370825000051/s-20250131.htm#:~:text=OpenAI%20%20Large%20Language%20Models&text=ChatGPT%20%20Large%20Language%20Models,Technology,"SentinelOne, Inc.",1583708
2025-03-26,google_domestic,https://www.sec.gov/Archives/edgar/data/1836833/000183683325000050/pl-20250131.htm#:~:text=Bard%20%20Large%20Language%20Models&text=Gemini%20%20Large%20Language%20Models&text=Google%20%20Large%20Language%20Models,Manufacturing,Planet Labs PBC,1836833
2025-03-26,google_domestic,https://www.sec.gov/Archives/edgar/data/1886894/000164117225000784/form10-k.htm#:~:text=Bard%20%20Large%20Language%20Models&text=Gemini%20%20Large%20Language%20Models&text=Google%20%20Large%20Language%20Models,Technology,"Snail, Inc.",1886894
2025-03-26,google_domestic,https://www.sec.gov/Archives/edgar/data/1583708/000158370825000051/s-20250131.htm#:~:text=Bard%20%20Large%20Language%20Models&text=Gemini%20%20Large%20Language%20Models&text=Google%20%20Large%20Language%20Models,Technology,"SentinelOne, Inc.",1583708
2025-03-26,google_domestic,https://www.sec.gov/Archives/edgar/data/1166388/000116638825000014/vrnt-20250131.htm#:~:text=Bard%20%20Large%20Language%20Models&text=Gemini%20%20Large%20Language%20Models&text=Google%20%20Large%20Language%20Models,Technology,VERINT SYSTEMS INC,1166388
2025-03-27,google_domestic,https://www.sec.gov/Archives/edgar/data/2030781/000203078125000011/spparent-20250131x10k.htm#:~:text=Bard%20%20Large%20Language%20Models&text=Gemini%20%20Large%20Language%20Models&text=Google%20%20Large%20Language%20Models,Technology,"SailPoint, Inc.",2030781
2025-03-26,general_international,https://www.sec.gov/Archives/edgar/data/1016838/000101376225002444/ea0234566-20f_radcom.htm#:~:text=Large%20Language%20Models,Technology,RADCOM LTD,1016838
2025-03-26,general_international,https://www.sec.gov/Archives/edgar/data/1861974/000186197425000004/exc-20241231.htm#:~:text=Large%20Language%20Models,Technology,ECARX Holdings Inc.,1861974
2025-03-25,general_international,https://www.sec.gov/Archives/edgar/data/1723690/000119312525061847/d930276d20f.htm#:~:text=Large%20Language%20Models,Technology,Bilibili Inc.,1723690
2025-03-25,general_international,https://www.sec.gov/Archives/edgar/data/1741530/000141057825000441/qfin-20241231x20f.htm#:~:text=Large%20Language%20Models,Finance,"Qfin Holdings, Inc.",1741530
2025-03-28,general_international,https://www.sec.gov/Archives/edgar/data/1329099/000119312525066199/d853848d20f.htm#:~:text=Large%20Language%20Models,Technology,"Baidu, Inc.",1329099
2025-03-27,general_international,https://www.sec.gov/Archives/edgar/data/769218/000119312525064638/d869711d20f.htm#:~:text=Large%20Language%20Models,Finance,AEGON LTD.,769218
