ownerOrg,period,count,component
Crypto Assets,0,2,general_domestic
Crypto Assets,1,3,general_domestic
Energy & Transportation,0,1,general_domestic
Energy & Transportation,1,14,general_domestic
Finance,0,1,general_domestic
Finance,1,20,general_domestic
Industrial Applications and Services,0,2,general_domestic
Industrial Applications and Services,1,7,general_domestic
Life Sciences,1,5,general_domestic
Manufacturing,0,2,general_domestic
Manufacturing,1,14,general_domestic
Real Estate & Construction,1,11,general_domestic
Technology,0,8,general_domestic
Technology,1,80,general_domestic
Trade & Services,0,1,general_domestic
Trade & Services,1,21,general_domestic
Crypto Assets,0,1,openai_domestic
Crypto Assets,1,1,openai_domestic
Energy & Transportation,1,8,openai_domestic
Industrial Applications and Services,1,1,openai_domestic
Real Estate & Construction,1,1,openai_domestic
Technology,0,1,openai_domestic
Technology,1,12,openai_domestic
Trade & Services,1,2,openai_domestic
Finance,1,1,anthropic_domestic
Technology,1,6,anthropic_domestic
Trade & Services,1,1,anthropic_domestic
Crypto Assets,1,2,google_domestic
Energy & Transportation,1,2,google_domestic
Finance,1,2,google_domestic
Industrial Applications and Services,1,4,google_domestic
Life Sciences,1,2,google_domestic
Manufacturing,0,1,google_domestic
Manufacturing,1,5,google_domestic
Real Estate & Construction,1,2,google_domestic
Technology,0,7,google_domestic
Technology,1,51,google_domestic
Trade & Services,1,10,google_domestic
Crypto Assets,1,1,general_international
Energy & Transportation,1,2,general_international
Finance,0,2,general_international
Finance,1,7,general_international
Life Sciences,1,2,general_international
Manufacturing,1,4,general_international
Technology,0,7,general_international
Technology,1,26,general_international
Trade & Services,1,4,general_international
Technology,0,2,openai_international
Technology,1,5,openai_international
Finance,1,1,anthropic_international
Technology,1,3,anthropic_international
Energy & Transportation,1,2,google_international
Manufacturing,1,1,google_international
Technology,0,5,google_international
Technology,1,16,google_international
Trade & Services,1,2,google_international
