filing_date,component,url,ownerOrg,name,cik
2025-03-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1140215/000164117225001344/form10-k.htm#:~:text=Supply%20chain%20constraints,Manufacturing,"REED'S, INC.",1140215
2025-03-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/885508/000088550825000022/strs-20241231.htm#:~:text=Supply%20chain%20constraints,Real Estate & Construction,STRATUS PROPERTIES INC,885508
2025-03-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1307579/000143774925009832/liqt20241231_10k.htm#:~:text=Supply%20chain%20constraints,Technology,LIQTECH INTERNATIONAL INC,1307579
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/2186/000143774925009464/bkti20241231_10k.htm#:~:text=Supply%20chain%20constraints,Manufacturing,BK Technologies Corp,2186
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1089063/000108906325000012/dks-20250201.htm#:~:text=Supply%20chain%20constraints,Trade & Services,"DICK'S SPORTING GOODS, INC.",1089063
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/100591/000155837025003819/agx-20250131x10k.htm#:~:text=Supply%20chain%20constraints,Real Estate & Construction,ARGAN INC,100591
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1474432/000162828025015044/pstg-20250202.htm#:~:text=Supply%20chain%20constraints,Technology,"Everpure, Inc.",1474432
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1798749/000155837025003750/avte-20241231x10k.htm#:~:text=Supply%20chain%20constraints,Life Sciences,"Jade Biosciences, Inc.",1798749
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1750149/000095017025046096/ikt-20241231.htm#:~:text=Supply%20chain%20constraints,Life Sciences,"Inhibikase Therapeutics, Inc.",1750149
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/864240/000143774925009524/sypr20241231_10k.htm#:~:text=Supply%20chain%20constraints,Industrial Applications and Services,SYPRIS SOLUTIONS INC,864240
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1817004/000164117225000939/form10-k.htm#:~:text=Supply%20chain%20constraints,Trade & Services,"NEXTNRG, INC.",1817004
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/828146/000141057825000511/link-20241231x10k.htm#:~:text=Supply%20chain%20constraints,Technology,INTERLINK ELECTRONICS INC,828146
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1006045/000095017025046107/irix-20241228.htm#:~:text=Supply%20chain%20constraints,Industrial Applications and Services,IRIDEX CORP,1006045
2025-03-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1589061/000143774925009691/gyrllc20241231_10k.htm#:~:text=Supply%20chain%20constraints,Real Estate & Construction,"Gyrodyne, LLC",1589061
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1832487/000143774925009538/guer20241231_10k.htm#:~:text=Supply%20chain%20constraints,Manufacturing,"Guerrilla RF, Inc.",1832487
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1780201/000155837025003845/tmb-20241229x10k.htm#:~:text=Supply%20chain%20constraints,Trade & Services,"Lulu's Fashion Lounge Holdings, Inc.",1780201
2025-03-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1816613/000095017025046869/mkfg-20241231.htm#:~:text=Supply%20chain%20constraints,Technology,Markforged Holding Corp,1816613
2025-03-28,constraints_domestic,https://www.sec.gov/Archives/edgar/data/1777393/000177739325000030/chpt-20250131.htm#:~:text=Supply%20chain%20constraints,Manufacturing,"ChargePoint Holdings, Inc.",1777393
2025-03-27,constraints_domestic,https://www.sec.gov/Archives/edgar/data/2018545/000201854525000007/fbredbdc-20241231.htm#:~:text=Supply%20chain%20constraints,,Franklin BSP Real Estate Debt BDC,2018545
2025-03-27,constraints_intl,https://www.sec.gov/Archives/edgar/data/1564180/000155837025003754/knop-20241231x20f.htm#:~:text=Supply%20chain%20constraints,Energy & Transportation,KNOT Offshore Partners LP,1564180
2025-03-28,constraints_intl,https://www.sec.gov/Archives/edgar/data/1640043/000164117225001092/form20-f.htm#:~:text=Supply%20chain%20constraints,Energy & Transportation,Pyxis Tankers Inc.,1640043
2025-03-27,constraints_intl,https://www.sec.gov/Archives/edgar/data/1041934/000155837025003828/edap-20241231x20f.htm#:~:text=Supply%20chain%20constraints,Industrial Applications and Services,EDAP TMS SA,1041934
2025-03-27,constraints_intl,https://www.sec.gov/Archives/edgar/data/897322/000117891325001071/zk2532800.htm#:~:text=Supply%20chain%20constraints,Manufacturing,GILAT SATELLITE NETWORKS LTD,897322
2025-03-28,constraints_intl,https://www.sec.gov/Archives/edgar/data/1950246/000110465925029012/mtal-20241231x20f.htm#:~:text=Supply%20chain%20constraints,Energy & Transportation,MAC Copper Ltd,1950246
2025-03-27,constraints_intl,https://www.sec.gov/Archives/edgar/data/1172724/000117272425000010/gfi-20241231.htm#:~:text=Supply%20chain%20constraints,Energy & Transportation,GOLD FIELDS LTD,1172724
