ownerOrg,period,count,component
Crypto Assets,1,7,constraints_domestic
Energy & Transportation,1,86,constraints_domestic
Finance,1,25,constraints_domestic
Industrial Applications and Services,1,74,constraints_domestic
Life Sciences,1,62,constraints_domestic
Manufacturing,1,134,constraints_domestic
Real Estate & Construction,1,38,constraints_domestic
Technology,1,72,constraints_domestic
Trade & Services,1,57,constraints_domestic
Energy & Transportation,1,21,constraints_intl
Finance,1,4,constraints_intl
Industrial Applications and Services,1,4,constraints_intl
Life Sciences,1,2,constraints_intl
Manufacturing,1,19,constraints_intl
Technology,1,8,constraints_intl
Trade & Services,1,4,constraints_intl
